precinct,office,votes,candidate,party,district,county
Spring City U  Wales U,Mark Mciff Judicial Retention,285,YES,,,Sanpete
SSU,Mark Mciff Judicial Retention,127,YES,,,Sanpete
Sterling Town,Mark Mciff Judicial Retention,104,YES,,,Sanpete
Sterlng U,Mark Mciff Judicial Retention,69,YES,,,Sanpete
Wales Town,Mark Mciff Judicial Retention,104,YES,,,Sanpete
Axtell SSD,Mark Mciff Judicial Retention,16,NO,,,Sanpete
Centerfield City,Mark Mciff Judicial Retention,66,NO,,,Sanpete
Ephraim City 1 (North),Mark Mciff Judicial Retention,81,NO,,,Sanpete
Ephraim City 2 (South West),Mark Mciff Judicial Retention,68,NO,,,Sanpete
Ephraim City 3 (South East),Mark Mciff Judicial Retention,32,NO,,,Sanpete
Ephraim U,Mark Mciff Judicial Retention,22,NO,,,Sanpete
Fayette Town,Mark Mciff Judicial Retention,13,NO,,,Sanpete
Fairview City.,Mark Mciff Judicial Retention,70,NO,,,Sanpete
Fairview U,Mark Mciff Judicial Retention,89,NO,,,Sanpete
Fountain Green City,Mark Mciff Judicial Retention,54,NO,,,Sanpete
Gunnison City,Mark Mciff Judicial Retention,81,NO,,,Sanpete
Manti City 1 (South),Mark Mciff Judicial Retention,76,NO,,,Sanpete
Manti City 2 (Mid),Mark Mciff Judicial Retention,38,NO,,,Sanpete
Manti City 3 (North),Mark Mciff Judicial Retention,27,NO,,,Sanpete
Mayfield Town,Mark Mciff Judicial Retention,38,NO,,,Sanpete
Moroni City,Mark Mciff Judicial Retention,57,NO,,,Sanpete
Moroni U,Mark Mciff Judicial Retention,21,NO,,,Sanpete
Mt Pleasant City 2 (East),Mark Mciff Judicial Retention,57,NO,,,Sanpete
Mt Pleasant City 1 (West),Mark Mciff Judicial Retention,130,NO,,,Sanpete
Mt Pleasant 1 U,Mark Mciff Judicial Retention,38,NO,,,Sanpete
Mt Pleasant 2 U,Mark Mciff Judicial Retention,33,NO,,,Sanpete
Fountain Green U,Mark Mciff Judicial Retention,8,NO,,,Sanpete
Spring City,Mark Mciff Judicial Retention,80,NO,,,Sanpete
Spring City U  Wales U,Mark Mciff Judicial Retention,57,NO,,,Sanpete
SSU,Mark Mciff Judicial Retention,19,NO,,,Sanpete
Sterling Town,Mark Mciff Judicial Retention,10,NO,,,Sanpete
Sterlng U,Mark Mciff Judicial Retention,13,NO,,,Sanpete
Wales Town,Mark Mciff Judicial Retention,20,NO,,,Sanpete
Axtell SSD,Mark Mciff Judicial Retention,113,TOTAL VOTES,,,Sanpete
Centerfield City,Mark Mciff Judicial Retention,461,TOTAL VOTES,,,Sanpete
Ephraim City 1 (North),Mark Mciff Judicial Retention,619,TOTAL VOTES,,,Sanpete
Ephraim City 2 (South West),Mark Mciff Judicial Retention,405,TOTAL VOTES,,,Sanpete
Ephraim City 3 (South East),Mark Mciff Judicial Retention,342,TOTAL VOTES,,,Sanpete
Ephraim U,Mark Mciff Judicial Retention,205,TOTAL VOTES,,,Sanpete
Fayette Town,Mark Mciff Judicial Retention,94,TOTAL VOTES,,,Sanpete
Fairview City.,Mark Mciff Judicial Retention,476,TOTAL VOTES,,,Sanpete
Fairview U,Mark Mciff Judicial Retention,566,TOTAL VOTES,,,Sanpete
Fountain Green City,Mark Mciff Judicial Retention,408,TOTAL VOTES,,,Sanpete
Gunnison City,Mark Mciff Judicial Retention,587,TOTAL VOTES,,,Sanpete
Manti City 1 (South),Mark Mciff Judicial Retention,652,TOTAL VOTES,,,Sanpete
Manti City 2 (Mid),Mark Mciff Judicial Retention,392,TOTAL VOTES,,,Sanpete
Manti City 3 (North),Mark Mciff Judicial Retention,262,TOTAL VOTES,,,Sanpete
Mayfield Town,Mark Mciff Judicial Retention,243,TOTAL VOTES,,,Sanpete
Moroni City,Mark Mciff Judicial Retention,454,TOTAL VOTES,,,Sanpete
Moroni U,Mark Mciff Judicial Retention,121,TOTAL VOTES,,,Sanpete
Mt Pleasant City 2 (East),Mark Mciff Judicial Retention,372,TOTAL VOTES,,,Sanpete
Mt Pleasant City 1 (West),Mark Mciff Judicial Retention,713,TOTAL VOTES,,,Sanpete
Mt Pleasant 1 U,Mark Mciff Judicial Retention,190,TOTAL VOTES,,,Sanpete
Mt Pleasant 2 U,Mark Mciff Judicial Retention,220,TOTAL VOTES,,,Sanpete
Fountain Green U,Mark Mciff Judicial Retention,33,TOTAL VOTES,,,Sanpete
Spring City,Mark Mciff Judicial Retention,464,TOTAL VOTES,,,Sanpete
Spring City U  Wales U,Mark Mciff Judicial Retention,342,TOTAL VOTES,,,Sanpete
SSU,Mark Mciff Judicial Retention,146,TOTAL VOTES,,,Sanpete
Sterling Town,Mark Mciff Judicial Retention,114,TOTAL VOTES,,,Sanpete
Sterlng U,Mark Mciff Judicial Retention,82,TOTAL VOTES,,,Sanpete
Wales Town,Mark Mciff Judicial Retention,124,TOTAL VOTES,,,Sanpete
Axtell SSD,Paige Petersen Judicial Retention,93,YES,,,Sanpete
Centerfield City,Paige Petersen Judicial Retention,386,YES,,,Sanpete
Ephraim City 1 (North),Paige Petersen Judicial Retention,541,YES,,,Sanpete
Ephraim City 2 (South West),Paige Petersen Judicial Retention,350,YES,,,Sanpete
Ephraim City 3 (South East),Paige Petersen Judicial Retention,307,YES,,,Sanpete
Ephraim U,Paige Petersen Judicial Retention,188,YES,,,Sanpete
Fayette Town,Paige Petersen Judicial Retention,84,YES,,,Sanpete
Fairview City.,Paige Petersen Judicial Retention,410,YES,,,Sanpete
Fairview U,Paige Petersen Judicial Retention,480,YES,,,Sanpete
Fountain Green City,Paige Petersen Judicial Retention,372,YES,,,Sanpete
Gunnison City,Paige Petersen Judicial Retention,503,YES,,,Sanpete
Manti City 1 (South),Paige Petersen Judicial Retention,566,YES,,,Sanpete
Manti City 2 (Mid),Paige Petersen Judicial Retention,342,YES,,,Sanpete
Manti City 3 (North),Paige Petersen Judicial Retention,232,YES,,,Sanpete
Mayfield Town,Paige Petersen Judicial Retention,209,YES,,,Sanpete
Moroni City,Paige Petersen Judicial Retention,410,YES,,,Sanpete
Moroni U,Paige Petersen Judicial Retention,106,YES,,,Sanpete
Mt Pleasant City 2 (East),Paige Petersen Judicial Retention,304,YES,,,Sanpete
Mt Pleasant City 1 (West),Paige Petersen Judicial Retention,585,YES,,,Sanpete
Mt Pleasant 1 U,Paige Petersen Judicial Retention,154,YES,,,Sanpete
Mt Pleasant 2 U,Paige Petersen Judicial Retention,183,YES,,,Sanpete
Fountain Green U,Paige Petersen Judicial Retention,27,YES,,,Sanpete
Spring City,Paige Petersen Judicial Retention,365,YES,,,Sanpete
Spring City U  Wales U,Paige Petersen Judicial Retention,288,YES,,,Sanpete
SSU,Paige Petersen Judicial Retention,114,YES,,,Sanpete
Sterling Town,Paige Petersen Judicial Retention,106,YES,,,Sanpete
Sterlng U,Paige Petersen Judicial Retention,62,YES,,,Sanpete
Wales Town,Paige Petersen Judicial Retention,106,YES,,,Sanpete
Axtell SSD,Paige Petersen Judicial Retention,17,NO,,,Sanpete
Centerfield City,Paige Petersen Judicial Retention,66,NO,,,Sanpete
Ephraim City 1 (North),Paige Petersen Judicial Retention,78,NO,,,Sanpete
Ephraim City 2 (South West),Paige Petersen Judicial Retention,55,NO,,,Sanpete
Ephraim City 3 (South East),Paige Petersen Judicial Retention,31,NO,,,Sanpete
Ephraim U,Paige Petersen Judicial Retention,23,NO,,,Sanpete
Fayette Town,Paige Petersen Judicial Retention,9,NO,,,Sanpete
Fairview City.,Paige Petersen Judicial Retention,70,NO,,,Sanpete
Fairview U,Paige Petersen Judicial Retention,95,NO,,,Sanpete
Fountain Green City,Paige Petersen Judicial Retention,52,NO,,,Sanpete
Gunnison City,Paige Petersen Judicial Retention,69,NO,,,Sanpete
Manti City 1 (South),Paige Petersen Judicial Retention,74,NO,,,Sanpete
Manti City 2 (Mid),Paige Petersen Judicial Retention,46,NO,,,Sanpete
Manti City 3 (North),Paige Petersen Judicial Retention,26,NO,,,Sanpete
Mayfield Town,Paige Petersen Judicial Retention,28,NO,,,Sanpete
Moroni City,Paige Petersen Judicial Retention,47,NO,,,Sanpete
Moroni U,Paige Petersen Judicial Retention,19,NO,,,Sanpete
Mt Pleasant City 2 (East),Paige Petersen Judicial Retention,56,NO,,,Sanpete
Mt Pleasant City 1 (West),Paige Petersen Judicial Retention,124,NO,,,Sanpete
Mt Pleasant 1 U,Paige Petersen Judicial Retention,33,NO,,,Sanpete
Mt Pleasant 2 U,Paige Petersen Judicial Retention,39,NO,,,Sanpete
Fountain Green U,Paige Petersen Judicial Retention,5,NO,,,Sanpete
Spring City,Paige Petersen Judicial Retention,93,NO,,,Sanpete
Spring City U  Wales U,Paige Petersen Judicial Retention,57,NO,,,Sanpete
SSU,Paige Petersen Judicial Retention,25,NO,,,Sanpete
Sterling Town,Paige Petersen Judicial Retention,9,NO,,,Sanpete
Sterlng U,Paige Petersen Judicial Retention,18,NO,,,Sanpete
Wales Town,Paige Petersen Judicial Retention,20,NO,,,Sanpete
Axtell SSD,Paige Petersen Judicial Retention,110,TOTAL VOTES,,,Sanpete
Centerfield City,Paige Petersen Judicial Retention,452,TOTAL VOTES,,,Sanpete
Ephraim City 1 (North),Paige Petersen Judicial Retention,619,TOTAL VOTES,,,Sanpete
Ephraim City 2 (South West),Paige Petersen Judicial Retention,405,TOTAL VOTES,,,Sanpete
Ephraim City 3 (South East),Paige Petersen Judicial Retention,3381,TOTAL VOTES,,,Sanpete
Ephraim U,Paige Petersen Judicial Retention,211,TOTAL VOTES,,,Sanpete
Fayette Town,Paige Petersen Judicial Retention,93,TOTAL VOTES,,,Sanpete
Fairview City.,Paige Petersen Judicial Retention,480,TOTAL VOTES,,,Sanpete
Fairview U,Paige Petersen Judicial Retention,575,TOTAL VOTES,,,Sanpete
Fountain Green City,Paige Petersen Judicial Retention,424,TOTAL VOTES,,,Sanpete
Gunnison City,Paige Petersen Judicial Retention,572,TOTAL VOTES,,,Sanpete
Manti City 1 (South),Paige Petersen Judicial Retention,640,TOTAL VOTES,,,Sanpete
Manti City 2 (Mid),Paige Petersen Judicial Retention,388,TOTAL VOTES,,,Sanpete
Manti City 3 (North),Paige Petersen Judicial Retention,258,TOTAL VOTES,,,Sanpete
Mayfield Town,Paige Petersen Judicial Retention,237,TOTAL VOTES,,,Sanpete
Moroni City,Paige Petersen Judicial Retention,457,TOTAL VOTES,,,Sanpete
Moroni U,Paige Petersen Judicial Retention,125,TOTAL VOTES,,,Sanpete
Mt Pleasant City 2 (East),Paige Petersen Judicial Retention,360,TOTAL VOTES,,,Sanpete
Mt Pleasant City 1 (West),Paige Petersen Judicial Retention,709,TOTAL VOTES,,,Sanpete
Mt Pleasant 1 U,Paige Petersen Judicial Retention,187,TOTAL VOTES,,,Sanpete
Mt Pleasant 2 U,Paige Petersen Judicial Retention,222,TOTAL VOTES,,,Sanpete
Fountain Green U,Paige Petersen Judicial Retention,32,TOTAL VOTES,,,Sanpete
Spring City,Paige Petersen Judicial Retention,458,TOTAL VOTES,,,Sanpete
Spring City U  Wales U,Paige Petersen Judicial Retention,345,TOTAL VOTES,,,Sanpete
SSU,Paige Petersen Judicial Retention,139,TOTAL VOTES,,,Sanpete
Sterling Town,Paige Petersen Judicial Retention,115,TOTAL VOTES,,,Sanpete
Sterlng U,Paige Petersen Judicial Retention,80,TOTAL VOTES,,,Sanpete
Wales Town,Paige Petersen Judicial Retention,126,TOTAL VOTES,,,Sanpete
Axtell SSD,Constitutional Amendment A,27,FOR,,,Sanpete
Centerfield City,Constitutional Amendment A,184,FOR,,,Sanpete
Ephraim City 1 (North),Constitutional Amendment A,229,FOR,,,Sanpete
Ephraim City 2 (South West),Constitutional Amendment A,168,FOR,,,Sanpete
Ephraim City 3 (South East),Constitutional Amendment A,148,FOR,,,Sanpete
Ephraim U,Constitutional Amendment A,68,FOR,,,Sanpete
Fayette Town,Constitutional Amendment A,39,FOR,,,Sanpete
Fairview City.,Constitutional Amendment A,174,FOR,,,Sanpete
Fairview U,Constitutional Amendment A,187,FOR,,,Sanpete
Fountain Green City,Constitutional Amendment A,144,FOR,,,Sanpete
Gunnison City,Constitutional Amendment A,216,FOR,,,Sanpete
Manti City 1 (South),Constitutional Amendment A,244,FOR,,,Sanpete
Manti City 2 (Mid),Constitutional Amendment A,154,FOR,,,Sanpete
Manti City 3 (North),Constitutional Amendment A,93,FOR,,,Sanpete
Mayfield Town,Constitutional Amendment A,104,FOR,,,Sanpete
Moroni City,Constitutional Amendment A,133,FOR,,,Sanpete
Moroni U,Constitutional Amendment A,40,FOR,,,Sanpete
Mt Pleasant City 2 (East),Constitutional Amendment A,107,FOR,,,Sanpete
Mt Pleasant City 1 (West),Constitutional Amendment A,229,FOR,,,Sanpete
Mt Pleasant 1 U,Constitutional Amendment A,53,FOR,,,Sanpete
Mt Pleasant 2 U,Constitutional Amendment A,65,FOR,,,Sanpete
Fountain Green U,Constitutional Amendment A,11,FOR,,,Sanpete
Spring City,Constitutional Amendment A,156,FOR,,,Sanpete
Spring City U  Wales U,Constitutional Amendment A,102,FOR,,,Sanpete
SSU,Constitutional Amendment A,61,FOR,,,Sanpete
Sterling Town,Constitutional Amendment A,36,FOR,,,Sanpete
Sterlng U,Constitutional Amendment A,31,FOR,,,Sanpete
Wales Town,Constitutional Amendment A,56,FOR,,,Sanpete
Axtell SSD,Constitutional Amendment A,84,AGAINST,,,Sanpete
Centerfield City,Constitutional Amendment A,272,AGAINST,,,Sanpete
Ephraim City 1 (North),Constitutional Amendment A,394,AGAINST,,,Sanpete
Ephraim City 2 (South West),Constitutional Amendment A,243,AGAINST,,,Sanpete
Ephraim City 3 (South East),Constitutional Amendment A,211,AGAINST,,,Sanpete
Ephraim U,Constitutional Amendment A,154,AGAINST,,,Sanpete
Fayette Town,Constitutional Amendment A,59,AGAINST,,,Sanpete
Fairview City.,Constitutional Amendment A,315,AGAINST,,,Sanpete
Fairview U,Constitutional Amendment A,403,AGAINST,,,Sanpete
Fountain Green City,Constitutional Amendment A,280,AGAINST,,,Sanpete
Gunnison City,Constitutional Amendment A,354,AGAINST,,,Sanpete
Manti City 1 (South),Constitutional Amendment A,401,AGAINST,,,Sanpete
Manti City 2 (Mid),Constitutional Amendment A,239,AGAINST,,,Sanpete
Manti City 3 (North),Constitutional Amendment A,162,AGAINST,,,Sanpete
Mayfield Town,Constitutional Amendment A,136,AGAINST,,,Sanpete
Moroni City,Constitutional Amendment A,297,AGAINST,,,Sanpete
Moroni U,Constitutional Amendment A,92,AGAINST,,,Sanpete
Mt Pleasant City 2 (East),Constitutional Amendment A,269,AGAINST,,,Sanpete
Mt Pleasant City 1 (West),Constitutional Amendment A,481,AGAINST,,,Sanpete
Mt Pleasant 1 U,Constitutional Amendment A,138,AGAINST,,,Sanpete
Mt Pleasant 2 U,Constitutional Amendment A,164,AGAINST,,,Sanpete
Fountain Green U,Constitutional Amendment A,23,AGAINST,,,Sanpete
Spring City,Constitutional Amendment A,304,AGAINST,,,Sanpete
Spring City U  Wales U,Constitutional Amendment A,259,AGAINST,,,Sanpete
SSU,Constitutional Amendment A,78,AGAINST,,,Sanpete
Sterling Town,Constitutional Amendment A,72,AGAINST,,,Sanpete
Sterlng U,Constitutional Amendment A,54,AGAINST,,,Sanpete
Wales Town,Constitutional Amendment A,78,AGAINST,,,Sanpete
Axtell SSD,Constitutional Amendment A,111,TOTAL VOTES,,,Sanpete
Centerfield City,Constitutional Amendment A,456,TOTAL VOTES,,,Sanpete
Ephraim City 1 (North),Constitutional Amendment A,623,TOTAL VOTES,,,Sanpete
Ephraim City 2 (South West),Constitutional Amendment A,411,TOTAL VOTES,,,Sanpete
Ephraim City 3 (South East),Constitutional Amendment A,359,TOTAL VOTES,,,Sanpete
Ephraim U,Constitutional Amendment A,222,TOTAL VOTES,,,Sanpete
Fayette Town,Constitutional Amendment A,98,TOTAL VOTES,,,Sanpete
Fairview City.,Constitutional Amendment A,489,TOTAL VOTES,,,Sanpete
Fairview U,Constitutional Amendment A,590,TOTAL VOTES,,,Sanpete
Fountain Green City,Constitutional Amendment A,424,TOTAL VOTES,,,Sanpete
Gunnison City,Constitutional Amendment A,570,TOTAL VOTES,,,Sanpete
Manti City 1 (South),Constitutional Amendment A,645,TOTAL VOTES,,,Sanpete
Manti City 2 (Mid),Constitutional Amendment A,393,TOTAL VOTES,,,Sanpete
Manti City 3 (North),Constitutional Amendment A,255,TOTAL VOTES,,,Sanpete
Mayfield Town,Constitutional Amendment A,240,TOTAL VOTES,,,Sanpete
Moroni City,Constitutional Amendment A,430,TOTAL VOTES,,,Sanpete
Moroni U,Constitutional Amendment A,132,TOTAL VOTES,,,Sanpete
Mt Pleasant City 2 (East),Constitutional Amendment A,376,TOTAL VOTES,,,Sanpete
Mt Pleasant City 1 (West),Constitutional Amendment A,710,TOTAL VOTES,,,Sanpete
Mt Pleasant 1 U,Constitutional Amendment A,191,TOTAL VOTES,,,Sanpete
Mt Pleasant 2 U,Constitutional Amendment A,229,TOTAL VOTES,,,Sanpete
Fountain Green U,Constitutional Amendment A,34,TOTAL VOTES,,,Sanpete
Spring City,Constitutional Amendment A,460,TOTAL VOTES,,,Sanpete
Spring City U  Wales U,Constitutional Amendment A,361,TOTAL VOTES,,,Sanpete
SSU,Constitutional Amendment A,139,TOTAL VOTES,,,Sanpete
Sterling Town,Constitutional Amendment A,108,TOTAL VOTES,,,Sanpete
Sterlng U,Constitutional Amendment A,85,TOTAL VOTES,,,Sanpete
Wales Town,Constitutional Amendment A,134,TOTAL VOTES,,,Sanpete
